
Episode 216: steps = 18, reward = 100, avg_plan_time = 0.032013144344091415, avg_dist = 0.10824955513611212
Episode 217: steps = 199, reward = 0, avg_plan_time = 0.03238687565550208, avg_dist = 0.036368900593441465
Episode 218: steps = 199, reward = 0, avg_plan_time = 0.033233370296657086, avg_dist = 0.040535744212734814
Episode 219: steps = 28, reward = 100, avg_plan_time = 0.032673180167531145, avg_dist = 0.09434789065292282
Episode 220: steps = 199, reward = 0, avg_plan_time = 0.033623726880177854, avg_dist = 0.030482030695128698
Episode 221: steps = 199, reward = 0, avg_plan_time = 0.033232899624854324, avg_dist = 0.042061908679819994
Episode 222: steps = 25, reward = 100, avg_plan_time = 0.030837447167589113, avg_dist = 0.13009675494403533
Episode 223: steps = 199, reward = 0, avg_plan_time = 0.03340596164576709, avg_dist = 0.038170163474263524
Episode 224: steps = 199, reward = 0, avg_plan_time = 0.035162287587299945, avg_dist = 0.06011498526626335
Episode 225: steps = 199, reward = 0, avg_plan_time = 0.032249255273491144, avg_dist = 0.035015003042647194
Episode 226: steps = 49, reward = 100, avg_plan_time = 0.03189443234354258, avg_dist = 0.10462288906318838
Episode 227: steps = 23, reward = 100, avg_plan_time = 0.03400438123693069, avg_dist = 0.11795531151218282
Episode 228: steps = 16, reward = 100, avg_plan_time = 0.03224529577966999, avg_dist = 0.04482193160797936
Episode 229: steps = 19, reward = 100, avg_plan_time = 0.02842050800099969, avg_dist = 0.1086856710134245
Episode 230: steps = 199, reward = 0, avg_plan_time = 0.0338762322999537, avg_dist = 0.04373924106118019
Episode 231: steps = 199, reward = -300, avg_plan_time = 0.03479141124524176, avg_dist = 0.12922763235737908
Episode 232: steps = 23, reward = 100, avg_plan_time = 0.03305867260011534, avg_dist = 0.09570063556281798
Episode 233: steps = 18, reward = 100, avg_plan_time = 0.03479644705198313, avg_dist = 0.10761830907082584
Episode 234: steps = 17, reward = 100, avg_plan_time = 0.03201746464603477, avg_dist = 0.0914685930306618
Episode 235: steps = 20, reward = 100, avg_plan_time = 0.032655305096081326, avg_dist = 0.11133959144339738
Episode 236: steps = 17, reward = 100, avg_plan_time = 0.03482324598977963, avg_dist = 0.059186240814165965
Episode 237: steps = 199, reward = 0, avg_plan_time = 0.03299141712486744, avg_dist = 0.03688914790082523
Episode 238: steps = 199, reward = 0, avg_plan_time = 0.03223769470117986, avg_dist = 0.03990508973283073
Episode 239: steps = 16, reward = 100, avg_plan_time = 0.03838763440794805, avg_dist = 0.1174243087247074
Episode 240: steps = 199, reward = 0, avg_plan_time = 0.03210819881409407, avg_dist = 0.029615246809043927
Episode 241: steps = 15, reward = 100, avg_plan_time = 0.03222446015570313, avg_dist = 0.09216724726997257
Episode 242: steps = 21, reward = 100, avg_plan_time = 0.030430611815642227, avg_dist = 0.11293902147418565
Episode 243: steps = 22, reward = 100, avg_plan_time = 0.028780810372984928, avg_dist = 0.11843569384339163
Episode 244: steps = 16, reward = 100, avg_plan_time = 0.03317404647960382, avg_dist = 0.09389662734463056
Episode 245: steps = 21, reward = 100, avg_plan_time = 0.0355046974833716, avg_dist = 0.1316637530150082
Episode 246: steps = 20, reward = 100, avg_plan_time = 0.03276117855594272, avg_dist = 0.1317090203484701
Episode 247: steps = 17, reward = 100, avg_plan_time = 0.03639799594465229, avg_dist = 0.05642874715739136
Episode 248: steps = 199, reward = 0, avg_plan_time = 0.03350630667060614, avg_dist = 0.03769414528485711
Episode 249: steps = 24, reward = 100, avg_plan_time = 0.033984623402357104, avg_dist = 0.10635829840890372
Episode 250: steps = 199, reward = 0, avg_plan_time = 0.032061866838485005, avg_dist = 0.0440102679390529
Episode 251: steps = 199, reward = 0, avg_plan_time = 0.033301845844835046, avg_dist = 0.040970042737752885
Episode 252: steps = 199, reward = 0, avg_plan_time = 0.03417619519867003, avg_dist = 0.05526229146737473
